Indentation

 + User defined profile

+ User defined profile
   Acquisition Rate :	20.0 [Hz]
   Max load :	5.00 	mN
   Loading rate :	3.00 	mN/min
   Pause :	10.0 s
   Max load :	0.50 	mN
   Loading rate :	8.00 	mN/min
   Pause :	90.0 s
   Max load :	0.00 	mN
   Loading rate :	8.00 	mN/min
+ TTX-NHT S/N: 01-05628 settings
   Approach distance : 3000 nm
   Approach speed : 2000 nm/min
   Retract speed : 2001 nm/min
   Dz sensor in fine range
   Stiffness Threshold : 1000 µN/µm
   Spring Compliance : 0.924 mm/N
   Warning: Factory spring compliance
   (Computed: 0.727 mm/N)


Date :11/24/2021
Time :3:10:20 PM

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	42.484 	MPa
   EIT=	1.0325 	GPa
   E*=	1.1346 	GPa

 + Hypothesis

   hc out of calibrated range [111 nm, 1466 nm]
   m out of O&P hypothesis
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	3.9345 	 Vickers
   nIT=	40.87 %
   Fmax=	4.88 	mN
   hmax=	2366.25 	nm
   S=	0.0142 	mN/nm
   hc=	2115.94 	nm
   hr=	2021.95 	nm
   hp=	-4519.86 	nm
   m=	20.0000 
   Epsilon=	0.73 
   R2=	0.827
   Ap=	114878689.45 	nm²
   Welast=	2032.87 pJ
   Wplast=	2940.75 pJ
   Wtotal=	4973.62 pJ
   Er=	1.1335 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
17.7	460.2048	0.8582	0	1
17.75	461.4544	0.8616	0	1
17.8	462.862	0.8646	0	1
17.85	464.4787	0.866	0	1
17.9	465.5619	0.8715	0	1
17.95	466.6614	0.8751	0	1
18	467.2779	0.8759	0	1
18.05	468.6012	0.8788	0	1
18.1	469.7099	0.8815	0	1
18.15	470.5623	0.8845	0	1
18.2	471.9477	0.8839	0	1
18.25	473.1849	0.8831	0	1
18.3	474.9474	0.8883	0	1
18.35	476.4839	0.8929	0	1
18.4	477.9855	0.8974	0	1
18.45	479.5039	0.9003	0	1
18.5	480.1564	0.8998	0	1
18.55	481.173	0.9015	0	1
18.6	482.3329	0.9039	0	1
18.65	483.9256	0.908	0	1
18.7	485.3261	0.9134	0	1
18.75	486.4741	0.9144	0	1
18.8	487.6041	0.9145	0	1
18.85	488.4946	0.9181	0	1
18.9	490.1148	0.9179	0	1
18.95	491.6275	0.9222	0	1
19	492.7449	0.9269	0	1
19.05	494.4976	0.9266	0	1
19.1	496.2381	0.9276	0	1
19.15	498.3238	0.9314	0	1
19.2	499.5762	0.9363	0	1
19.25	501.0825	0.9381	0	1
19.3	502.695	0.938	0	1
19.35	504.5141	0.9427	0	1
19.4	506.1698	0.9468	0	1
19.45	506.8508	0.9474	0	1
19.5	508.1603	0.9515	0	1
19.55	509.3	0.9513	0	1
19.6	510.1817	0.9525	0	1
19.65	511.5738	0.9579	0	1
19.7	512.9396	0.9601	0	1
19.75	514.6067	0.9623	0	1
19.8	515.8289	0.9655	0	1
19.85	517.2177	0.9688	0	1
19.9	518.6344	0.9713	0	1
19.95	519.4681	0.9726	0	1
20	520.6009	0.9736	0	1
20.05	521.7706	0.974	0	1
20.1	523.9705	0.9787	0	1
20.15	525.6861	0.9836	0	1
20.2	526.4233	0.985	0	1
20.25	527.8909	0.986	0	1
20.3	529.9242	0.9894	0	1
20.35	531.7069	0.992	0	1
20.4	532.7355	0.9961	0	1
20.45	535.1585	0.9987	0	1
20.5	536.9912	0.9997	0	1
20.55	537.3411	1.003	0	1
20.6	538.6528	1.0057	0	1
20.65	540.3002	1.0089	0	1
20.7	541.6262	1.0107	0	1
20.75	542.1533	1.0122	0	1
20.8	543.8321	1.0135	0	1
20.85	546.2181	1.0147	0	1
20.9	547.4651	1.0185	0	1
20.95	548.547	1.0227	0	1
21	550.6769	1.0241	0	1
21.05	552.8232	1.0262	0	1
21.1	553.5554	1.0311	0	1
21.15	554.2817	1.0347	0	1
21.2	556.2984	1.0361	0	1
21.25	557.3648	1.0371	0	1
21.3	558.4964	1.0383	0	1
21.35	559.8422	1.044	0	1
21.4	561.575	1.0473	0	1
21.45	562.7844	1.0485	0	1
21.5	563.3868	1.051	0	1
21.55	564.7709	1.0504	0	1
21.6	566.4086	1.0533	0	1
21.65	567.8206	1.0567	0	1
21.7	569.1373	1.0594	0	1
21.75	570.5671	1.0629	0	1
21.8	572.0435	1.0646	0	1
21.85	572.8484	1.0686	0	1
21.9	574.1289	1.0702	0	1
21.95	575.5925	1.0731	0	1
22	576.5452	1.0774	0	1
22.05	577.6461	1.0776	0	1
22.1	578.7903	1.0779	0	1
22.15	580.42	1.0823	0	1
22.2	581.3125	1.087	0	1
22.25	582.3542	1.0896	0	1
22.3	583.6603	1.0878	0	1
22.35	584.8539	1.0904	0	1
22.4	587.2508	1.0959	0	1
22.45	589.1338	1.0963	0	1
22.5	590.632	1.0985	0	1
22.55	592.0579	1.1039	0	1
22.6	593.5346	1.1058	0	1
22.65	594.7611	1.1077	0	1
22.7	595.7811	1.1107	0	1
22.75	597.4741	1.1111	0	1
22.8	598.8801	1.1137	0	1
22.85	600.4612	1.1176	0	1
22.9	601.9692	1.1208	0	1
22.95	603.1062	1.1231	0	1
23	604.7964	1.1251	0	1
23.05	606.5337	1.1274	0	1
23.1	607.7775	1.13	0	1
23.15	608.7026	1.1336	0	1
23.2	609.6876	1.1369	0	1
23.25	610.6276	1.1385	0	1
23.3	611.848	1.1415	0	1
23.35	613.4394	1.1427	0	1
23.4	614.2523	1.1454	0	1
23.45	615.3619	1.1489	0	1
23.5	616.6798	1.1503	0	1
23.55	617.6971	1.1518	0	1
23.6	618.9821	1.1549	0	1
23.65	619.9407	1.1578	0	1
23.7	621.4676	1.1624	0	1
23.75	622.1463	1.164	0	1
23.8	622.6783	1.1659	0	1
23.85	624.6178	1.1676	0	1
23.9	625.7869	1.1671	0	1
23.95	627.2716	1.171	0	1
24	628.5977	1.1755	0	1
24.05	629.9843	1.1776	0	1
24.1	631.4182	1.1828	0	1
24.15	631.9554	1.1858	0	1
24.2	632.9173	1.1856	0	1
24.25	633.5448	1.1868	0	1
24.3	635.0228	1.1905	0	1
24.35	637.0031	1.1924	0	1
24.4	638.6016	1.194	0	1
24.45	640.231	1.1938	0	1
24.5	641.9261	1.1993	0	1
24.55	643.508	1.2046	0	1
24.6	644.0953	1.2081	0	1
24.65	645.358	1.2091	0	1
24.7	646.4295	1.2088	0	1
24.75	647.2479	1.214	0	1
24.8	648.8829	1.2146	0	1
24.85	650.055	1.2165	0	1
24.9	651.3152	1.2212	0	1
24.95	652.2931	1.2241	0	1
25	653.7133	1.2262	0	1
25.05	655.2361	1.2261	0	1
25.1	655.9657	1.2295	0	1
25.15	657.2742	1.2344	0	1
25.2	658.7204	1.2377	0	1
25.25	659.7909	1.2392	0	1
25.3	660.6349	1.2399	0	1
25.35	661.6771	1.2432	0	1
25.4	663.3349	1.246	0	1
25.45	664.1811	1.2483	0	1
25.5	665.5277	1.2512	0	1
25.55	666.7165	1.2567	0	1
25.6	667.1933	1.2573	0	1
25.65	668.4599	1.2565	0	1
25.7	669.6343	1.2587	0	1
25.75	670.9376	1.2615	0	1
25.8	672.0047	1.2664	0	1
25.85	673.2809	1.2678	0	1
25.9	674.6033	1.2694	0	1
25.95	675.6677	1.2743	0	1
26	677.103	1.2762	0	1
26.05	678.0159	1.2796	0	1
26.1	679.2016	1.2802	0	1
26.15	680.5014	1.2821	0	1
26.2	681.4565	1.2845	0	1
26.25	682.9178	1.2824	0	1
26.3	684.827	1.2868	0	1
26.35	686.633	1.2948	0	1
26.4	687.6458	1.2975	0	1
26.45	688.7101	1.2981	0	1
26.5	689.7477	1.3011	0	1
26.55	690.7523	1.3037	0	1
26.6	692.3199	1.305	0	1
26.65	693.1466	1.3063	0	1
26.7	694.4524	1.3091	0	1
26.75	695.8844	1.3131	0	1
